Category,State,2009-10 - (Actual),2010-11 - (Actual),2011-12 - (Prov.),2012-13 - RE,2013-14 - AP,,,,,,,,
I. SPUs,Andhra Pradesh,13261,12622,13487,13264,15899,,,,,,,,
I. SPUs,Assam,1400,1359,1735,1662,1736,,,,,,,,
I. SPUs,Bihar,3769,4744,5271,5723,6167,,,,,,,,
I. SPUs,Chhatisgarh,6274,5918,5997,5866,5946,,,,,,,,
I. SPUs,Gujarat,9450,11140,12263,12962,13741,,,,,,,,
I. SPUs,Haryana,8463,8193,8598,9891,10273,,,,,,,,
I. SPUs,Himachal Pradesh,1224,1039,1321,1248,1257,,,,,,,,
I. SPUs,Jammu and Kashmir,6538,6603,6799,5345,5593,,,,,,,,
I. SPUs,Jharkhand,3155,3321,3500,3584,3910,,,,,,,,
I. SPUs,Karnataka,9195,10282,10640,11013,11489,,,,,,,,
I. SPUs,Kerala,3342,3192,3580,3462,3648,,,,,,,,
I. SPUs,Madhya Pradesh,13011,13441,14484,15249,16805,,,,,,,,
I. SPUs,Maharashtra,21533,19062,18530,19075,22327,,,,,,,,
I. SPUs,Meghalaya,503,532,502,505,595,,,,,,,,
I. SPUs,Punjab,8043,7428,7235,7661,7803,,,,,,,,
I. SPUs,Rajasthan,13031,12602,12212,12660,13090,,,,,,,,
I. SPUs,Tamil Nadu,12662,15469,12414,14286,17687,,,,,,,,
I. SPUs,Uttar Pradesh,18966,20365,23326,23067,23510,,,,,,,,
I. SPUs,Uttrakhand,2031,1999,2058,2103,2181,,,,,,,,
I. SPUs,West Bengal,6151,7203,7509,7525,7880,,,,,,,,
I. SPUs,Total (I),162000 ,166513 ,171458 ,176150 ,191535 ,,,,,,,,
II EDs,Arunachal Pradesh,250,307,348,281,379,,,,,,,,
II EDs,Goa,523,559,580,569,577,,,,,,,,
II EDs,Manipur,245,258,197,197,237,,,,,,,,
II EDs,Mizoram,135,119,147,157,171,,,,,,,,
II EDs,Nagaland,187,211,236,244,255,,,,,,,,
II EDs,Pondicherry,362,349,363,368,383,,,,,,,,
II EDs,Sikkim,195,261,172,155,154,,,,,,,,
II EDs,Tripura,264,275,286,302,438,,,,,,,,
II EDs,Total (II),1912 ,2033 ,1981 ,1992 ,2215 ,,,,,,,,
II EDs,Total (I+II),163912 ,168546 ,173439 ,178142 ,193750 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
